AREA ID,Description
-------,-----------
FPAK61.PAFC,SOUTHCENTRAL AK
FPAK62.PAFC,SW AK & ALEUTIAN ISLANDS
FPCA62.TJSJ,PR
FPHW60.PHFO,HI
FPUS54.KHUN,ZONE FORECAST TN VALLEY
FPUS61.KAKQ,VA
FPUS61.KBOX,CT MA RI
FPUS61.KBTV,VT
FPUS61.KBUF,NY
FPUS61.KCAR,ME
FPUS61.KCLE,OH
FPUS61.KCTP,PA
FPUS61.KGYX,ME NH
FPUS61.KLWX,MD PANHANDLE WV
FPUS61.KOKX,NE-NJ SE-NY S-CT
FPUS61.KPHI,DE NJ
FPUS61.KRLX,WV KY SE-OH SE-VA
FPUS62.KCAE,SC
FPUS62.KFFC,GA
FPUS62.KJAX,NE-FL SE-GA
FPUS62.KKEY,FL KEYS
FPUS62.KMFL,FL
FPUS62.KRAH,NC
FPUS62.KTAE,TALLAHASSEE FL AREA
FPUS63.KBIS,ND
FPUS63.KDMX,IA
FPUS63.KFSD,SD
FPUS63.KGRR,MI
FPUS63.KICT,KS
FPUS63.KILX,IL
FPUS63.KIND,IN
FPUS63.KLMK,KY
FPUS63.KLSX,MO
FPUS63.KMKX,WI
FPUS63.KMPX,MN
FPUS64.KBMX,AL
FPUS64.KBRO,DEEP SOUTH TEXAS
FPUS64.KCRP,SOUTH TEXAS
FPUS64.KEPZ,SW-SCENTRAL NM FAR WEST TEXAS
FPUS64.KEWX,SW-SCENTRAL NM FAR WEST TEXAS
FPUS64.KFWD,TX FORT WORTH NWS
FPUS64.KHGX,SE TX
FPUS64.KHUN,TAB ST TN VALLEY AND N AL
FPUS64.KJAN,MS
FPUS64.KLIX,LA
FPUS64.KLZK,AR
FPUS64.KMAF,TX-MIDLAND NWS
FPUS64.KOHX,MIDDLE TN
FPUS64.KSJT,TX-SAN ANGELO NWS
FPUS64.KTSA,E OK & NW AR
FPUS65.KABQ,N & CENTRAL NM
FPUS65.KBOI SW ID & SE OR
FPUS65.KBOU,CO
FPUS65.KBYZ,S CENTRAL & SOUTHEASTERN MT
FPUS65.KCYS,WY
FPUS65.KFGZ,AZ
FPUS65.KGGW,NE MT
FPUS65.KLKN,NORTHEN AND CENTRAL NV
FPUS65.KPIH,SE ID
FPUS65.KPSR,SW AZ & SE CA
FPUS65.KREV,NV
FPUS65.KSLC,UT
FPUS65.KVEF,GREAT BASIN & MOJAVE
FPUS65.SFT,N AZ
FPUS66.KEKA,N CA
FPUS66..KLOX,SOUTHERN CA
FPUS66.KMFR,S OR & N CA
FPUS66.KMTR,SAN FRANCISCO BAY AREA
FPUS66.KOTX,E WA & N ID
FPUS66.KPDT,NE OR & SE WA
FPUS66.KPQR,OREGON TEXT FORCAST
FPUS66.KSEW,NW WA
FPUS66.KSGX,EXTREME SW CA
FPUS66.KSTO,N & CENTRAL CA
FPUS66.KSTOA,CA
FPUS65.KVEF,LAS VEGAS REGION NV
